word,count
i,83
the,66
you,65
it,39
to,39
a,36
i'm,26
and,25
on,21
in,21
my,20
this,20
me,19
your,19
of,18
out,17
right,16
is,16
so,14
that,14
we,13
what,12
here,12
are,12
he,12
don't,12
now,12
not,12
for,11
no,11
up,11
got,11
angelo,11
all,11
they,10
gonna,10
be,10
know,10
him,10
you're,10
but,10
gotta,9
shit,9
was,9
go,9
guys,9
can,9
yeah,9
them,8
off,8
pull,8
tyler,8
what's,8
do,8
get,8
or,8
bodhi,8
where,7
about,7
tell,7
they're,7
back,7
can't,7
man,7
sir,7
at,7
just,7
before,7
there,6
these,6
call,6
well,6
first,6
their,6
fucking,6
have,6
much,6
see,6
look,6
like,6
uh,5
wait,5
oh,5
never,5
maybe,5
it's,5
take,5
say,5
her,5
think,5
some,5
fbi,5
want,5
let,5
year,5
with,5
when,5
going,4
way,4
an,4
wax,4
come,4
then,4
check,4
beach,4
did,4
something,4
goes,4
good,4
time,4
listen,4
need,4
one,4
sure,4
how,4
woof,4
people,4
problem,4
floor,3
felony,3
great,3
could,3
surf,3
mean,3
who's,3
day,3
dead,3
who,3
minutes,3
person,3
fuck,3
little,3
life,3
sorry,3
because,3
that's,3
talk,3
fine,3
money,3
thanks,3
always,3
roach,3
house,3
huh,3
i'll,3
she,3
saw,3
school,3
okay,3
i've,3
trust,3
his,3
yet,3
really,3
anything,3
if,3
break,3
into,3
ride,3
guy,3
harp,3
football,2
jesus,2
arrest,2
hope,2
won't,2
asshole,2
jeep,2
am,2
road,2
work,2
feeling,2
feel,2
bank,2
stop,2
far,2
inside,2
still,2
four,2
found,2
any,2
guess,2
last,2
why,2
guy's,2
ready,2
had,2
whoooaaah,2
place,2
goddamn,2
goals,2
law,2
punk,2
glad,2
hand,2
give,2
pulling,2
babbit,2
babes,2
another,2
'em,2
fucked,2
haven't,2
he's,2
from,2
knee,2
killed,2
gun,2
shoe,2
losin',2
make,2
christ,2
truck,2
traveling,2
agent,2
over,2
needed,2
own,2
nail,2
myself,2
ago,2
mustache,2
must,2
couple,2
years,2
crazy,2
things,2
thing,2
parents,2
chute,2
yes,2
move,2
nice,2
wanted,2
walk,2
ohio,2
burn,2
yours,2
vault,2
ocean,2
utah,2
use,2
other,2
car,2
after,2
undercover,2
under,2
certain,2
change,2
two,2
they'll,2
blow,2
down,2
die,2
teach,2
may,2
been,2
months,2
being,2
talking,2
missed,2
didn't,2
were,2
there's,2
better,2
big,2
surfers,2
robbery,1
perpetrators,1
personal,1
phi,1
rode,1
rock,1
pulled,1
rob,1
percent,1
ronny,1
wouldn't,1
postgraduate,1
pretty,1
possible,1
you'll,1
order,1
operation,1
rule,1
played,1
zero,1
worth,1
picking,1
would,1
wrong,1
you'd,1
yuppie,1
you've,1
rubber,1
ouch,1
possession,1
pick,1
otherwise,1
release,1
prints,1
reaching,1
part,1
parachute,1
purpose,1
wreck,1
put,1
partner,1
quarterback,1
questions,1
packs,1
plane,1
quite,1
radar,1
rated,1
packed,1
owe,1
retirement,1
patrick's,1
public,1
pay,1
realized,1
pcbs,1
records,1
outside,1
penetration,1
program,1
registered,1
profile,1
pumping,1
rescind,1
rest,1
rules,1
warrant,1
run,1
takes,1
thirty,1
we're,1
we've,1
they'd,1
theory,1
what're,1
whatsoever,1
test,1
territorial,1
term,1
telling,1
teeth,1
taking,1
taken,1
three,1
where's,1
tailing,1
t-bird,1
swell,1
surgical,1
surgery,1
surfing,1
surfer,1
summer's,1
suddenly,1
sucker,1
such,1
stuff,1
we'd,1
through,1
storm,1
unit,1
wanna,1
wake,1
waited,1
waste,1
waimea,1
vision,1
wasting,1
vehicle,1
vacation,1
uuuughhh,1
water,1
waves,1
waving,1
waxing,1
till,1
type,1
twenty-five,1
tube,1
truth,1
traces,1
toxins,1
tower,1
too,1
tonight,1
tomorrow,1
today,1
titanium,1
tip,1
storm's,1
storage,1
running,1
seen,1
sheet,1
she's,1
shave,1
window,1
wipes,1
sex,1
seventies,1
setting,1
served,1
serious,1
separate,1
sense,1
selenium,1
wish,1
win,1
scuffs,1
screwed,1
scorcher,1
scoping,1
scholarship,1
wondering,1
savings,1
saved,1
sand,1
san,1
samples,1
working,1
saliva,1
shhiiittt,1
warm,1
stopping,1
soon,1
stoned,1
sticks,1
stick,1
stepping,1
started,1
start,1
splitting,1
spills,1
speed,1
speech,1
sounds,1
sorta,1
wherever,1
son,1
shoot,1
which,1
social,1
smart,1
skip,1
skin,1
sit,1
whoa,1
shrimp,1
showing,1
wiess,1
shouldn't,1
shoulder,1
shot,1
only,1
'84,1
once,1
cold,1
columbus,1
conditioning,1
conditions,1
cop,1
copy,1
cord,1
correct,1
could've,1
couldn't,1
counter,1
county,1
crash,1
crawling,1
cute,1
dad,1
cole,1
cocaine,1
bye,1
coast,1
came,1
candle,1
card,1
cashing,1
catch,1
caught,1
cds,1
chanting,1
chevy,1
chicken,1
chino,1
circumstance,1
citizen,1
close,1
closed,1
daylight,1
death,1
deceased,1
definitely,1
early,1
earn,1
earned,1
easily,1
easy,1
edges,1
eff,1
effect,1
elements,1
eleven,1
else,1
endicott,1
enjoy,1
entirely,1
ever,1
e,1
dye,1
duty,1
dignity,1
degrees,1
dependent,1
describe,1
dick,1
diego,1
different,1
distortion,1
drown,1
does,1
doesn't,1
done,1
dork,1
drawn,1
drop,1
called,1
buys,1
old,1
anyone,1
approach,1
arm,1
armed,1
around,1
arsenal,1
arsenic,1
ask,1
asked,1
ass,1
assault,1
assured,1
attention,1
aw,1
away,1
b,1
anywhere,1
anymore,1
buyin',1
ann,1
11-27-64,1
1322,1
20,1
26,1
90,1
act,1
actually,1
adjoining,1
adrenalin,1
afraid,1
afterward,1
air,1
alfonse,1
almost,1
already,1
backup,1
bad,1
badge,1
barely,1
bradley,1
brah,1
breaking,1
breaks,1
bright,1
bringing,1
bro,1
broad,1
brother,1
buddy,1
bullet,1
bunker,1
burst,1
business,1
butt,1
box,1
both,1
born,1
beta,1
basic,1
beaches,1
beat,1
bee,1
beer,1
begging,1
biggest,1
body,1
bitch,1
blast,1
blood,1
blowing,1
bodhi's,1
bodhisattva,1
everybody,1
ex-presidents,1
excellent,1
la,1
lame-o,1
land,1
laser,1
late,1
later,1
latest,1
latigo,1
lay,1
learn,1
leave,1
lemonade,1
lied,1
limped,1
live,1
living,1
lab,1
known,1
exhibition,1
knowledge,1
jobs,1
johnny,1
joined,1
jump,1
june,1
juvey,1
keep,1
kidnapping,1
kill,1
kinda,1
kinky,1
kneecaps,1
kneeling,1
knew,1
knowin',1
load,1
loaded,1
loan,1
locals,1
mostly,1
moving,1
mushy,1
name,1
name's,1
named,1
neck,1
needs,1
new,1
next,1
niner-five-niner,1
nnnoooooo,1
nooo,1
nothing,1
october,1
morning,1
month,1
moment,1
meaning,1
lock,1
looks,1
love,1
lovin',1
lunch,1
match,1
might,1
model,1
mind,1
minute,1
misdemeanor,1
miss,1
mmmm,1
mmmmsame,1
jerk,1
instead,1
insist,1
graduated,1
folded,1
folks,1
freeze,1
friends,1
fries,1
gamble,1
games,1
gets,1
getting,1
gimme,1
girl,1
glory,1
gloves,1
goin',1
gone,1
flaw,1
fit,1
fire,1
favorite,1
expected,1
expendable,1
exposure,1
eye,1
fails,1
fall,1
federal,1
find,1
feta,1
few,1
fifty,1
figure,1
figured,1
file,1
goosebumps,1
greatest,1
insects,1
ground,1
hero,1
hey,1
high,1
highly,1
hit,1
hits,1
holy,1
hook,1
huge,1
i'd,1
idea,1
ideas,1
idiom,1
indecent,1
infrastructure,1
here's,1
helped,1
help,1
happen,1
guards,1
guns,1
guts,1
hadn't,1
hair,1
halt,1
has,1
hell's,1
head,1
hear,1
heard,1
heavy,1
held,1
hell,1
zippo,1
